country_name,ep_start,ep_end,outcome_label,prch_label,ddcg_event_years,matched,bermeo_category_primary,bermeo_category_secondary,precise_start_date,precipitating_event,precise_end_date,consequential_events,source_url,confidence
Honduras,1973,1973,Autocracy deepening,No,NA,FALSE,Open-ended coup,NA,December 1972,"On 2 December 1972, General Oswaldo Lopez Arellano led a bloodless military coup that overthrew elected civilian President Ramon Ernesto Cruz, placing him under house arrest and ending Honduras's brief democratic interlude.",April 1975,"Lopez Arellano ruled by decree via a three-member military Defense Council; he was himself ousted in an internal military coup in April 1975 amid bribery allegations, with no return to elected civilian rule.",https://en.wikipedia.org/wiki/1972_Honduran_coup_d'etat,High
Rwanda,1973,1974,Autocracy deepening,No,NA,FALSE,Open-ended coup,NA,July 1973,"On 5 July 1973, Army Chief of Staff Juvenal Habyarimana seized power in a military coup against President Gregoire Kayibanda, ousting the ruling Parmehutu party.",1975,"Military rule continued until 1975, when Habyarimana founded the MRND as Rwanda's sole legal party; a 1978 constitutional referendum formalized a one-party totalitarian state that he led unopposed through subsequent elections.",https://en.wikipedia.org/wiki/Juvenal_Habyarimana,High
Eswatini,1973,1974,Autocracy deepening,No,NA,FALSE,Executive coup,NA,April 1973,"On 12 April 1973, King Sobhuza II repealed Swaziland's Westminster-style independence constitution and dissolved parliament by royal decree, banning political parties and assuming absolute personal rule.",1978,"Sobhuza ruled by decree from 1973 until a 1978 constitution introduced the tinkhundla system of tribal councils, formalizing indirect royal control over representation and ending multiparty competition.",https://en.wikipedia.org/wiki/Sobhuza_II,High
Bahrain,1974,1976,Autocracy deepening,No,NA,FALSE,Executive coup,NA,August 1975,"On 28 August 1975, Emir Isa bin Salman Al Khalifa dissolved Bahrain's elected National Assembly after it refused to pass the government's proposed State Security Law, suspending the parliamentary provisions of the 1973 constitution.",Ongoing,"Bahrain was governed by Emiri decree without an elected legislature for the remainder of Isa bin Salman's reign; the parliamentary system was never restored in his lifetime, with an elected legislature not reintroduced until 2002.",https://en.wikipedia.org/wiki/Isa_bin_Salman_Al_Khalifa,High
Argentina,1975,1977,Autocracy deepening,No,1976,TRUE,Open-ended coup,NA,November 1975,President Isabel Peron declared a state of siege on 6 November 1975 suspending constitutional guarantees amid escalating guerrilla violence and the assassination of the Buenos Aires police chief.,March 1976,"On 24 March 1976 (Operation Aries) the armed forces arrested President Isabel Peron and installed a military junta led by Videla, formally named president 29 March 1976, launching the ""Process of National Reorganization.""",https://en.wikipedia.org/wiki/1976_Argentine_coup_d'etat,High
Bangladesh,1975,1976,Autocracy deepening,No,1974,TRUE,Open-ended coup,NA,15 August 1975,"In the early morning of 15 August 1975, junior army officers stormed the residence of President Sheikh Mujibur Rahman and assassinated him along with most of his family, installing an interim martial-law government.",29 September 1976,"After a counter-coup and the Sipahi-Janata mutiny that restored Ziaur Rahman as Army Chief, Zia formally consolidated military control by becoming Chief Martial Law Administrator on 29 September 1976.",https://en.wikipedia.org/wiki/Assassination_of_Sheikh_Mujibur_Rahman,High
Laos,1975,1976,Autocracy deepening,No,NA,FALSE,Open-ended coup,Executive aggrandizement,May 1975,"Following communist victories in Saigon and Phnom Penh, the Pathet Lao pressured rightist ministers to resign through mid-1975, dismantling the fragile 1973 coalition government from within.",December 1975,"A Congress of People's Representatives convened December 1975 formally abolished the Lao monarchy, forcing King Savang Vatthana's abdication, and proclaimed the Lao People's Democratic Republic under one-party communist rule.",https://en.wikipedia.org/wiki/Laotian_Civil_War,Medium
Suriname,1975,1975,Democratic erosion,Yes,NA,FALSE,Other/unclear,NA,1975,"The NPS-led coalition government of PM Henck Arron finalized independence negotiations with the Netherlands, and independence was granted on 25 November 1975 amid controversial expropriations of Dutch-descended settlers' property.",1975,"In the run-up to and aftermath of independence, roughly a third of Suriname's population emigrated to the Netherlands amid fears the new country would not be viable, marked by social unrest and economic depression.",https://en.wikipedia.org/wiki/Suriname,Low
Kuwait,1976,1976,Autocracy deepening,No,NA,FALSE,Executive coup,Executive aggrandizement,29 August 1976,"Amid conflict between Emir Sabah Al-Salim Al-Sabah's government and an assertive National Assembly, the Emir issued a decree on 29 August 1976 suspending four constitutional articles governing press freedom and legislative dissolution, and dissolved the National Assembly outright.",1976,"The constitution and National Assembly remained suspended for roughly five years, with parliamentary life only reinstated in 1981.",https://en.wikipedia.org/wiki/History_of_Kuwait,Medium
Thailand,1976,1977,Autocracy deepening,No,1976,TRUE,Open-ended coup,NA,6 October 1976,"On 6 October 1976, Thai police and paramilitaries violently crushed a student protest at Thammasat University (the ""6 October massacre""), and that same day the military under Admiral Sangad Chaloryu seized power from the elected government, installing royalist judge Thanin Kraivichien as PM.",20 October 1977,"On 20 October 1977, Sangad again seized power and forced Thanin's resignation, citing that Thanin's government had ""divided the country"" and had virtually no public support; General Kriangsak Chamanan was installed as the new PM.",https://en.wikipedia.org/wiki/6_October_1976_massacre,High
Pakistan,1977,1978,Autocracy deepening,No,1977,TRUE,Promissory coup,Open-ended coup,"July 5, 1977","Army Chief Gen. Muhammad Zia-ul-Haq launched ""Operation Fair Play,"" a bloodless coup against elected PM Zulfikar Ali Bhutto amid a crisis over opposition allegations of massive rigging in the March 1977 elections. Zia suspended the constitution and promised ""free and fair elections"" within 90 days.",March 1978,"Instead of the promised 90-day elections, Zia pursued a criminal case against Bhutto; the Lahore High Court sentenced Bhutto to death March 1978 (executed April 1979), and elections were delayed until 1985.",https://en.wikipedia.org/wiki/1977_Pakistani_coup_d'etat,High
Mauritania,1978,1979,Autocracy deepening,No,NA,FALSE,Open-ended coup,NA,"July 10, 1978","Col. Mustafa Ould Salek led junior officers in a bloodless coup against founding President Moktar Ould Daddah, driven by military exhaustion from the Western Sahara War and Daddah's threats to hold officers accountable for corruption.",August 1979,"The junta imprisoned Daddah and dissolved one-party rule with no timetable for civilian rule; Daddah was exiled to France in August 1979, and Mauritania entered a prolonged period of serial military coups.",https://en.wikipedia.org/wiki/1978_Mauritanian_coup_d'etat,High
Zimbabwe,1978,1978,Autocracy deepening,No,NA,FALSE,Strategic harassment,Executive aggrandizement,"March 3, 1978","PM Ian Smith signed the ""Internal Settlement"" with hand-picked, non-militant Black leaders, creating a transitional biracial Executive Council while excluding the actual insurgent opposition (Patriotic Front) from the transition.",1978,"Despite adding Black ministers, civil service, judiciary, police, and armed forces stayed under predominantly white officials; the resulting April 1979 elections excluded the Patriotic Front and were declared ""null and void"" by the UN.",https://en.wikipedia.org/wiki/Internal_Settlement,Medium
Burkina Faso,1980,1981,Autocracy deepening,No,1980,TRUE,Open-ended coup,NA,"November 25, 1980","Col. Saye Zerbo led a bloodless coup ousting President Lamizana amid drought/famine-driven economic desperation and a wave of strikes, immediately following a failed no-confidence motion.",May 1981,"Zerbo suspended the constitution and installed a 31-member junta with no timetable for elections; the initially union-friendly regime turned repressive, imposing mandatory military service in May 1981 and banning strikes.",https://en.wikipedia.org/wiki/1980_Upper_Voltan_coup_d'etat,High
Liberia,1980,1981,Autocracy deepening,No,NA,FALSE,Open-ended coup,NA,"April 12, 1980","Master Sgt. Samuel Doe led indigenous soldiers storming the Executive Mansion and killing President Tolbert, capping resentment of Americo-Liberian elite rule inflamed by 1979 rice-price riots.",August 1981,Doe's People's Redemption Council publicly executed 13 Tolbert-era officials in April 1980; consolidation continued in 1981 as the regime executed alleged coup plotters within the junta itself in August 1981.,https://en.wikipedia.org/wiki/1980_Liberian_coup_d'etat,High
Suriname,1980,1981,Democratic breakdown,Yes,1980,TRUE,Open-ended coup,Promissory coup,"February 25, 1980","Sgt.-Maj. Desi Bouterse led 16 NCOs in a coup against elected PM Henck Arron's government, triggered when Arron refused to recognize an NCO union and arrested its leaders.",1981,"The military initially retained civilian President Ferrier and installed a PM figurehead, but forced Ferrier's resignation in August 1980, continuing consolidation through 1981 before dismissing the figurehead outright in February 1982.",https://en.wikipedia.org/wiki/1980_Surinamese_coup_d'etat,Medium
Türkiye,1980,1981,Democratic breakdown,Yes,1980,TRUE,Open-ended coup,NA,"September 12, 1980","On 12 September 1980, General Kenan Evren led the Turkish Armed Forces in a coup; the National Security Council abolished parliament, suspended the 1961 constitution, and banned all political parties and trade unions.","November 6, 1983","The junta's new constitution was approved by referendum November 1982, and power was handed to a civilian government after elections on 6 November 1983, ending three years of direct military rule during which ~650,000 people were arrested.",https://en.wikipedia.org/wiki/1980_Turkish_coup_d'etat,High
Ghana,1981,1982,Autocracy deepening,No,1981,TRUE,Open-ended coup,NA,"December 31, 1981","On 31 December 1981, Flight Lieutenant Jerry Rawlings led his second coup, overthrowing the elected government of President Hilla Limann amid economic crisis, and installed the Provisional National Defence Council with himself as chairman.",1982,"The PNDC abolished the 1979 constitution, banned political parties, and consolidated military-backed rule, surviving counter-coup attempts; PNDC rule lasted 11 years until the 1992 constitution restored multiparty democracy.",https://en.wikipedia.org/wiki/1981_Ghanaian_coup_d'etat,High
Bangladesh,1982,1983,Autocracy deepening,No,NA,FALSE,Open-ended coup,NA,"March 24, 1982","On 24 March 1982, Army Chief Gen. Hussain Muhammad Ershad forced President Abdus Sattar to resign, declared martial law, suspended the constitution, and banned political parties, installing a figurehead civilian president.",December 1983,"Ershad formally assumed the presidency himself in December 1983, replacing the figurehead president and consolidating personal military rule that continued until 1990.",https://en.wikipedia.org/wiki/1982_Bangladeshi_coup_d'etat,High
Nigeria,1983,1984,Autocracy deepening,No,1984,TRUE,Open-ended coup,NA,"December 31, 1983","On 31 December 1983, Major General Muhammadu Buhari led a military coup that overthrew the elected government of President Shehu Shagari, following a firefight between coup plotters and the presidential guard.",1984,"The Buhari-led Supreme Military Council suspended the 1979 constitution, banned political parties, and ruled by decree, before Buhari was overthrown in a further coup by General Ibrahim Babangida in August 1985.",https://en.wikipedia.org/wiki/1983_Nigerian_coup_d'etat,High
Kuwait,1986,1986,Autocracy deepening,No,NA,FALSE,Executive coup,Executive aggrandizement,1986,"In 1986, amid strained oil revenues and friction between the ruling family and elected deputies, Emir Jaber Al-Ahmad Al-Sabah suspended Kuwait's 1962 constitution and dissolved the National Assembly, ruling by decree through the Council of Ministers.",October 1992,"The suspension provoked a pro-democracy movement; under domestic and Gulf War-era international pressure the Emir agreed in October 1990 to restore constitutional rule, with elections finally held in October 1992.",https://en.wikipedia.org/wiki/History_of_Kuwait,Medium
Burundi,1987,1988,Autocracy deepening,No,NA,FALSE,Open-ended coup,NA,"September 3, 1987","On 3 September 1987, Major Pierre Buyoya led a bloodless military coup that deposed President Bagaza while he was abroad at a summit; Buyoya suspended the constitution and formed a Military Committee for National Salvation.",October 1988,"Ethnic violence erupted in August 1988, with roughly 20,000 Hutu killed in military reprisals; Buyoya was proclaimed president in September 1988 and in October 1988 appointed a mixed civilian-military government under a Hutu prime minister.",https://en.wikipedia.org/wiki/1987_Burundian_coup_d'etat,High
Fiji,1987,1988,Democratic breakdown,Yes,1987,TRUE,Open-ended coup,NA,14 May 1987,"On 14 May 1987, Lt. Col. Sitiveni Rabuka led armed soldiers into Fiji's House of Representatives and forced PM Timoci Bavadra's newly elected multiracial coalition government to leave in a bloodless military coup.",1988,"A second coup on 25 September 1987 scuttled a negotiated power-sharing accord; Rabuka declared Fiji a republic on 7 October 1987, and a civilian interim government under Ratu Sir Kamisese Mara was installed in December 1987.",https://en.wikipedia.org/wiki/1987_Fijian_coups_d'etat,High
Sudan,1989,1990,Autocracy deepening,No,1989,TRUE,Open-ended coup,NA,30 June 1989,"On 30 June 1989, Brigadier General Omar al-Bashir, backed by Hassan al-Turabi's National Islamic Front, led a bloodless military coup overthrowing the elected government, dissolving parliament and suspending the constitution.",1990,"Al-Bashir established the Revolutionary Command Council; through 1989-1990 the regime banned all political parties and civil society bodies, purged tens of thousands from the army, police and civil service, and built a network of clandestine detention centers.",https://en.wikipedia.org/wiki/1989_Sudanese_coup_d'etat,High
Peru,1990,1992,Democratic breakdown,Yes,1992,TRUE,Executive coup,Executive aggrandizement,5 April 1992,"On 5 April 1992, elected President Alberto Fujimori announced he was dissolving Congress and ""reorganizing"" the judiciary, deployed army tanks to Congress, and issued a decree suspending the constitution amid gridlock with an opposition-controlled Congress.",November 1992,"Fujimori called elections for a Democratic Constituent Congress held November 1992, which his supporters won; the new congress drafted a constitution approved by referendum in October 1993.",https://en.wikipedia.org/wiki/1992_Peruvian_constitutional_crisis,High
Estonia,1991,1992,Democratic breakdown,Yes,NA,FALSE,Other/unclear,Strategic harassment,August 1991,"Following restoration of independence in August 1991, Estonia's Supreme Council restored the 1938 citizenship law, automatically granting citizenship only to pre-1940 citizens and their descendants; Soviet-era Russian-speaking settlers did not automatically become citizens.",28 June 1992,"Roughly 30% of Estonia's population was left without citizenship in the first years of independence; the new constitution was approved by referendum 28 June 1992, and the September 1992 elections were conducted under the citizen-only franchise this policy created.",https://en.wikipedia.org/wiki/Non-citizens_(Estonia),Medium
Suriname,1991,1991,Autocracy deepening,No,1990,TRUE,Open-ended coup,NA,24 December 1990,"On 24 December 1990 (the ""telephone coup""), acting military commander Ivan Graanoogst phoned President Ramsewak Shankar to inform him he was deposed, driven by former strongman Desi Bouterse reasserting military dominance.",May 1991,"The government was dismissed 27 December 1990, the National Assembly dissolved, and Johan Kraag installed as interim president; the Netherlands suspended aid and international pressure forced observed elections in May 1991, won by Ronald Venetiaan.",https://en.wikipedia.org/wiki/1990_Surinamese_coup_d'etat,High
Thailand,1991,1991,Autocracy deepening,No,1991,TRUE,Open-ended coup,NA,23 February 1991,"On 23 February 1991, a military junta led by General Sunthorn Kongsompong staged a bloodless coup, arresting PM Chatichai Choonhavan and ending Thailand's longest democratically elected government to that point.",1991,"King Bhumibol endorsed the coup on 26 February 1991; the junta formed the National Peace Keeping Council and appointed Anand Panyarachun as interim PM, drafting a new constitution preserving military influence.",https://en.wikipedia.org/wiki/1991_Thai_coup_d'etat,High
Algeria,1992,1993,Autocracy deepening,No,NA,FALSE,Open-ended coup,NA,"January 11, 1992","On January 11, 1992, Algeria's military forced President Chadli Bendjedid to resign and canceled the second round of elections the Islamic Salvation Front was poised to win, installing a High Council of State headed by Mohamed Boudiaf.",1993,The FIS was banned and tens of thousands of supporters interned in desert camps; President Boudiaf was assassinated in June 1992; cancellation of the electoral process triggered a decade-long civil war.,https://en.wikipedia.org/wiki/1992_Algerian_coup_d'etat,High
Haiti,1992,1992,Autocracy deepening,No,1991,TRUE,Open-ended coup,NA,"September 30, 1991","On the night of September 29-30, 1991, General Raoul Cedras and police chief Michel Francois led a military mutiny that attacked President Jean-Bertrand Aristide's residence, killed hundreds of civilians, and forced Aristide into exile.",Ongoing,The junta installed Joseph Nerette as provisional president October 1991 and through 1992 waged mass repression against Aristide supporters while resisting international sanctions.,https://en.wikipedia.org/wiki/1991_Haitian_coup_d'etat,High
Tajikistan,1992,1995,Autocracy deepening,No,NA,FALSE,Open-ended coup,Other/unclear,"September 7, 1992","On September 7, 1992, opposition paramilitary forces captured President Rahmon Nabiyev and forced him at gunpoint to resign, amid a civil war between the government and a coalition of regional, Islamist, and democratic opposition forces.",1995,The Supreme Soviet elected Emomali Rahmon as new leader in December 1992; Kulob-based militias backed by Russian and Uzbek forces waged what HRW described as ethnic cleansing against Pamiri and Garmi populations.,https://en.wikipedia.org/wiki/Tajikistani_Civil_War,Medium
Armenia,1993,1997,Democratic breakdown,Yes,1996,TRUE,Executive aggrandizement,Election-day fraud,"December 28, 1994","On December 28, 1994, President Levon Ter-Petrosyan banned the opposition Armenian Revolutionary Federation, alleging a coup plot, raided its offices, and had 31 members arrested and later convicted.",September 1996,"In the September 25, 1996 presidential election, official results gave Ter-Petrosyan just above 50% amid widespread fraud allegations; roughly 200,000 protesters stormed parliament and were crushed by tanks and troops, and a minister later admitted the vote had been rigged.",https://en.wikipedia.org/wiki/Levon_Ter-Petrosyan,High
Azerbaijan,1993,1996,Autocracy deepening,No,1993,TRUE,Open-ended coup,Executive aggrandizement,"June 4, 1993","On June 4, 1993, military commander Surat Huseynov launched an armed mutiny from Ganja and marched on Baku, forcing President Abulfaz Elchibey to flee by June 18, ending his government.",1996,"Heydar Aliyev, recalled to power as parliament speaker, was elected president after an August 1993 referendum formally removed Elchibey, and progressively entrenched one-man, one-party dominance over the following years.",https://en.wikipedia.org/wiki/1993_Azerbaijani_coup_d'etat,High
The Gambia,1993,1995,Autocracy deepening,No,1994,TRUE,Promissory coup,Open-ended coup,"July 22, 1994","On July 22, 1994, Lieutenant Yahya Jammeh led junior officers in a coup that overthrew long-serving elected President Dawda Jawara, dissolved the government, and abolished the constitution, publicly pledging a transition back to civilian democratic rule.",1995,"The junta shortened its planned transition, but by 1995-96 had banned key opposition parties and converted itself into the ruling APRC party ahead of the September 1996 election that confirmed Jammeh's rule.",https://en.wikipedia.org/wiki/1994_Gambian_coup_d'etat,High
Russia,1993,2014,Autocracy deepening,No,2004,TRUE,Executive coup,Executive aggrandizement,September 1993,"President Yeltsin issued a decree dissolving the Congress of People's Deputies on 21 September 1993; parliament impeached him, and the standoff culminated in the October 3-4, 1993 armed storming of the White House parliament building by government troops.",March 2014,"The December 1993 referendum created a super-presidential constitution; Putin's 2000s ""power vertical"" (abolition of elected governors, media/oligarch crackdowns, protest-law tightening) culminated in the March 2014 annexation of Crimea.",https://en.wikipedia.org/wiki/1993_Russian_constitutional_crisis,Medium
Rwanda,1993,1995,Autocracy deepening,No,NA,FALSE,Other/unclear,NA,April 1994,"The April 6, 1994 assassination of President Habyarimana triggered genocide against Tutsi and moderate Hutu, executed by a Hutu Power-led crisis committee that seized state control after the stalled 1993 Arusha power-sharing accords.",July 1994,"The RPF captured Kigali on July 4, 1994, ending the genocide; the new RPF-dominated government banned ethnically organized parties and ""genocide ideology,"" establishing a de facto one-party state.",https://en.wikipedia.org/wiki/Rwandan_genocide,Medium
Belarus,1994,2001,Democratic breakdown,Yes,1995,TRUE,Executive coup,Executive aggrandizement,May 1995,"The May 14, 1995 referendum granted President Lukashenko power to dissolve parliament for constitutional violations plus closer Russia ties, in a vote the OSCE found ""violated international standards.""",November 1996,"A second November 1996 referendum gave Lukashenko's decrees force of law, extended his term to 2001, and replaced the elected Supreme Soviet with a loyalist House of Representatives; the 2001 election, won amid OSCE findings the environment was ""not democratic,"" cemented control.",https://en.wikipedia.org/wiki/1996_Belarusian_referendum,High
Republic of the Congo,1994,1998,Autocracy deepening,No,1997,TRUE,Open-ended coup,NA,June 1997,"President Lissouba ordered his Cocoye militia to detain rival Sassou Nguesso and disarm his Cobra militia on June 5, 1997, fearing a coup, triggering civil war between the two factions.",October 1997,"With Angolan troops intervening on Sassou's behalf, Cobra militia forces took Brazzaville by October 16, 1997, and Sassou Nguesso declared himself president, ousting the elected Lissouba government by force.",https://en.wikipedia.org/wiki/Republic_of_the_Congo_Civil_War_(1997-1999),High
Lesotho,1994,1995,Democratic breakdown,Yes,NA,FALSE,Open-ended coup,NA,"August 17, 1994","On August 17, 1994, King Letsie III, backed by military elements, staged a coup that suspended Parliament and installed an interim ruling council, ousting Ntsu Mokhehle's elected BCP government, demanding reinstatement of his father as head of state.","September 14, 1994","Under domestic protest and SADC mediation pressure, Letsie III reinstated Mokhehle's elected government on September 14, 1994; a negotiated settlement led Letsie III to abdicate in 1995 in favor of his father.",https://en.wikipedia.org/wiki/History_of_Lesotho,High
Niger,1996,1996,Democratic breakdown,Yes,1996,TRUE,Promissory coup,Strategic harassment,"January 27, 1996","On January 27, 1996, Colonel Ibrahim Bare Mainassara led a military coup in Niamey that deposed Niger's first democratically elected president, Mahamane Ousmane, and arrested PM Hama Amadou.",November 1996,"The junta reauthorized political parties and promised elections; Bare Mainassara nonetheless dissolved the independent National Electoral Commission to secure victory in the July 1996 election, and opposition boycotted the November 1996 legislative elections over the fraud.",https://en.wikipedia.org/wiki/1996_Nigerien_coup_d'etat,High
Nicaragua,1996,2025,Democratic breakdown,Yes,NA,FALSE,Executive aggrandizement,Strategic harassment,January 2000,"The Ortega-Aleman Pact, sealed January 2000 between FSLN leader Daniel Ortega and Liberal President Arnoldo Aleman, split control of the Supreme Court, Comptroller General, and Supreme Electoral Council between their two parties and lowered the winning threshold for president, entrenching a two-party duopoly.",Ongoing,"After regaining the presidency in 2007, Ortega used a 2009 Supreme Court ruling and a 2014 constitutional amendment to abolish presidential term limits; his forces killed over 300 protesters in 2018, and in February 2025 a reform installed his wife as co-president.",https://en.wikipedia.org/wiki/Daniel_Ortega,High
Madagascar,1997,2002,Democratic breakdown,Yes,NA,FALSE,Election-day fraud,Strategic harassment,December 2001,"In the December 16, 2001 presidential election, the Ratsiraka-controlled electoral apparatus certified a count showing challenger Marc Ravalomanana with only 46%, a result disputed as manipulated to force a runoff Ratsiraka could contest from a stronger patronage position.",July 2002,"After months of parallel governments and regional blockades, Ratsiraka fled to the Seychelles on July 5, 2002, and Ravalomanana's forces took the last stronghold of Toamasina, ending the crisis with Ravalomanana recognized as president.",https://en.wikipedia.org/wiki/2002_Malagasy_political_crisis,High
Ukraine,1997,2000,Democratic breakdown,Yes,NA,FALSE,Executive aggrandizement,Election-day fraud,October 1999,"President Leonid Kuchma's re-election in the October-November 1999 contest against Communist leader Petro Symonenko was marred by documented electoral fraud, using administrative resources and slanted media coverage to secure a second term.",April 2000,"Kuchma followed his re-election with an April 2000 constitutional referendum to grant himself power to dissolve parliament, passed amid further documented fraud, but the Verkhovna Rada refused to implement the changes.",https://en.wikipedia.org/wiki/Leonid_Kuchma,Medium
Moldova,1998,2006,Democratic breakdown,Yes,NA,FALSE,Strategic harassment,Executive aggrandizement,April 2001,"The February 2001 election gave the Party of Communists a two-thirds supermajority, and on April 4, 2001 parliament elected PCRM leader Vladimir Voronin president, concentrating both a constitutional supermajority and the presidency in one party for the first time since independence.",2006,"PCRM used its dominance of state media and administrative resources through the 2005 election cycle, entrenching one-party dominance even as Voronin pursued a pro-EU pivot after 2003.",https://en.wikipedia.org/wiki/Vladimir_Voronin,Medium
Solomon Islands,1998,2001,Democratic breakdown,Yes,2000,TRUE,Open-ended coup,NA,June 2000,"On June 5, 2000, the Malaita Eagle Force militia, backed by elements of the police, staged an armed coup, seizing PM Bartholomew Ulufa'alu at gunpoint and forcing his resignation.",July 2001,"Parliament installed Manasseh Sogavare as PM on June 30, 2000; the Townsville Peace Agreement (October 2000) granted amnesty and mandated disarmament, completed by mid-2001.",https://en.wikipedia.org/wiki/2000_Solomon_Islands_coup_d'etat,High
Venezuela,1998,2018,Democratic breakdown,Yes,2009,TRUE,Executive aggrandizement,Strategic harassment,April 1999,"Following Chavez's December 1998 election win, an April 1999 referendum approved a Constituent Assembly; the July 1999 assembly election gave Chavez's coalition a near-total supermajority, letting it unilaterally rewrite the constitution, ratified in a December 1999 referendum.",May 2018,"After two decades of enabling-act decree powers, court-packing, and an unconstitutional 2017 Constituent Assembly, the May 20, 2018 election, held on a truncated timeline with major opposition barred, gave Maduro 67.85% on 46% turnout and was rejected as fraudulent internationally.",https://en.wikipedia.org/wiki/Hugo_Chavez,High
Comoros,1999,2000,Autocracy deepening,No,1999,TRUE,Open-ended coup,Executive aggrandizement,"April 30, 1999","On 30 April 1999, Colonel Azali Assoumani led a bloodless military coup that ousted interim President Tadjidine Ben Said Massounde, suspending the constitution amid the Anjouan secession crisis.",April 2000,"Azali adopted a new ""Fundamental Act"" in May 1999 concentrating power in himself; he retained power past his pledged April 2000 deadline, continuing military-dominated rule through 2000.",https://en.wikipedia.org/wiki/1999_Comorian_coup_d'etat,High
Malawi,1999,2005,Democratic breakdown,Yes,NA,FALSE,Executive aggrandizement,Strategic harassment,2002,"In 2002 President Bakili Muluzi and UDF allies pushed the ""Open Terms Bill"" to abolish presidential term limits so Muluzi could seek a third term, backed by state patronage and UDF dominance of campaign resources.",February 2005,"The bill was defeated in 2002-2003 amid protests; Muluzi then handpicked Bingu wa Mutharika as UDF successor, who won the disputed 2004 election, before breaking from UDF in February 2005 to found the DPP, personalizing power.",https://en.wikipedia.org/wiki/Bakili_Muluzi,Medium
Niger,1999,1999,Autocracy deepening,No,NA,FALSE,Promissory coup,Open-ended coup,"April 9, 1999","President Ibrahim Bare Mainassara (himself a 1996 coup leader) was assassinated by his own Presidential Guard on 9 April 1999; Major Daouda Malam Wanke then seized power heading a military ""National Reconciliation Council.""",December 1999,"Wanke's junta adopted a new constitution in July 1999 and organized elections in October-November 1999, won by Mamadou Tandja; the junta transferred power to the elected civilian government by December 1999.",https://en.wikipedia.org/wiki/Ibrahim_Bare_Mainassara,High
Pakistan,1999,2000,Autocracy deepening,No,1999,TRUE,Open-ended coup,Promissory coup,"October 12, 1999","On 12 October 1999, Army Chief Gen. Pervez Musharraf staged a bloodless coup after PM Nawaz Sharif tried to dismiss him while abroad; troops seized key institutions within 17 hours.",Ongoing,"Musharraf declared a state of emergency on 14 October 1999 and issued a Provisional Constitutional Order suspending the constitution; the Supreme Court validated the takeover under the ""doctrine of necessity"" in 2000, granting a three-year window.",https://en.wikipedia.org/wiki/1999_Pakistani_coup_d'etat,High
Ivory Coast,2000,2000,Autocracy deepening,No,NA,FALSE,Promissory coup,Election-day fraud,"December 24, 1999","On 24 December 1999, mutinying soldiers seized Abidjan's airport and ousted President Henri Konan Bedie; retired General Robert Guei was installed as head of a National Public Salvation Committee and publicly promised democracy would be respected.","October 26, 2000","The junta's constitution excluded opposition leader Alassane Ouattara from the presidential race; Guei tried to declare himself winner of the flawed October 2000 election, but a popular uprising forced him out and installed Laurent Gbagbo, inaugurated 26 October 2000.",https://en.wikipedia.org/wiki/1999_Ivorian_coup_d'etat,High
Fiji,2000,2001,Democratic breakdown,Yes,NA,FALSE,Open-ended coup,Promissory coup,"May 19, 2000","On 19 May 2000, businessman George Speight, backed by the army's Counter Revolutionary Warfare Unit, stormed Fiji's Parliament and took PM Mahendra Chaudhry's government hostage, declaring himself interim president.",September 2001,"Military commander Frank Bainimarama declared martial law after President Mara resigned; hostages were released via the Muanikau Accord, courts ruled the interim government illegal in November 2000, and elections were held in 2001, bringing Laisenia Qarase to power.",https://en.wikipedia.org/wiki/2000_Fijian_coup_d'etat,High
North Macedonia,2000,2001,Autocracy deepening,No,NA,FALSE,Other/unclear,Executive aggrandizement,November 2000,"Armed ethnic-Albanian NLA attacks on police/border posts began in late 2000, escalating on January 22, 2001 when NLA fighters attacked a police station near Tetovo, marking the start of the insurgency.",August 2001,"The General Ceasefire Agreement (July 2001) demilitarized conflict zones, and the Ohrid Framework Agreement (August 13, 2001) ended large-scale fighting via power-sharing and decentralization reforms.",https://en.wikipedia.org/wiki/2001_insurgency_in_the_Republic_of_Macedonia,Low
Nepal,2000,2003,Autocracy deepening,No,2002,TRUE,Executive aggrandizement,Open-ended coup,"October 4, 2002","King Gyanendra dismissed elected PM Sher Bahadur Deuba, dissolved his government, and indefinitely postponed elections Deuba had called for, invoking royal reserve powers amid the Maoist civil war.",2003,"The King directly appointed and dismissed a succession of prime ministers without elections, entrenching personal royal control that set the stage for his outright 2005 coup.",https://en.wikipedia.org/wiki/Gyanendra,Medium
Haiti,2001,2004,Autocracy deepening,No,2000,TRUE,Strategic harassment,Election-day fraud,February 2001,"Jean-Bertrand Aristide was inaugurated to a second term in February 2001 following flawed May 2000 elections and an opposition boycott of the November 2000 presidential race; his government ruled with no meaningful opposition, backed by armed pro-government gangs.","February 29, 2004","An armed rebellion seized Gonaives and advanced on Port-au-Prince; on February 29, 2004 US officials escorted Aristide out of the country, ending his presidency with an interim government installed.",https://en.wikipedia.org/wiki/2004_Haitian_coup_d'etat,Medium
